Text,Emotion,Temiz_Text
Yeni bir kıyafet aldığım zaman mutlu olurum.,Happy,yeni kıyafet aldığım zaman mutlu olurum
Yalnız kalmak.,Fear,kalmak
Ders çalışırken odama girip çıkılması sinirlendiriyor.,Anger,ders çalışmak oda girmek çıkmak sinir
İleride güzel bir üniversite kazanırsam mutlu olurum.,Happy,ileri güzel üniversite kazanmak mutlu olurum
Dersleri anlayamayınca ve sevdiğim birinin üzülmesine.,Sadness,ders anlamak sevmek biri üzülmesine
Doçent olacağım gün mutlu olacağım,Happy,doçent olacağım gün mutlu olacağım
Yemek yerken salyangoz gördüm tiksindim.,Disgust,yemek yerken salyangoz görmek tiksinmek
izmir fen lisesi'ne giremeyince çok üzülmüştüm.,Sadness,izmir fen lise girmek çok üzülmüştüm
İstediğim mesleğe ulaştığım zaman.,Happy,istemek meslek ulaşmak zaman
Küçük ve kullanışlı ancak sarıldığında tepki veriyor,Neutral,küçük kullanmak sarmak tepki vermek
ilkokul sıra arkadaşımı görürsem çok şaşırabilirim..,Surprise,ilkokul sıra arkadaş görmek çok şaşırmak
Oyunculuklar ve aksiyon harika ama kimilerine karanlık ve ağır gelebilir.,Neutral,oyun aksiyon harika kimi karanlık ağır gelmek
Düşük not alınca üzülürüm.,Sadness,düşük not alınca üzülürüm
sevdiklerimden ayrıldığımda.,Sadness,sevmek ayrıldığımda
Fotoğraf yarışmasında birinci olduğumda.,Happy,fotoğraf yarışmak birinci olduğumda
"Görsel efektler dışında yeni bir şey yok,",Neutral,görsel efekt dış yeni şey yok
"Köpeğimin, anne ve babamın yaşlandığını, benim de yaşlanacak olmamı düşünmek çok üzücü.",Sadness,köpek anne baba yaş ben yaş olmak düşünmek çok üzücü
Ağzını şapırdatarak yemek yenmesi.,Disgust,ağzını şapırdamak yemek yenmek
Sultan Abdülazizin saltanatı sırasında (1861-1876) saray bahçesinde zaman zaman çeşitli eğlenceler ve güreş müsabakaları tertip edilirdi.,Neutral,sultan abdülazizin saltanat sıra saray bahçesinde zaman zaman çeşit eğlence güreş müsabaka tertip edilirdi
Sınavım iyi geçtiği zaman.,Happy,sınav iyi geçmek zaman
Yanlış işlem yaptığımda.,Sadness,yanlış işlem yapmak
Korkudan titreye titreye yorganıma sarılıp uyumuşum.,Fear,korku titremek titremek yorgan sarmak uyumak
Terli oturmak.,Disgust,ter oturmak
Aşağılayıcı insan bakışlarından.,Anger,aşağılamak insan bakış
Arkadaşımın sinsilik etmesine.,Anger,arkadaş sinsi etmek
Güvendiğim kişilerin arkamdan konuşması ya da yalan söylemesi.,Anger,güvenmek kişi arka konuşmak yalan söylemek
Kedi gördüğümde tiksinirim.,Disgust,kedi görmek tiksinmek
"Ağabeyim ""Eskişehir'e"" taşındığı zaman.",Sadness,ağabey eskişehir taşınmak zaman
oğlumun on aylıkken yürümesine şaşırmıştım.,Surprise,oğlumun on ay yürümek şaşırmak
Yılan görmekten.,Fear,yılan görmek
oynadığım oyunlarda kaybetmem,Sadness,oynamak oyun kaybetmek
eniştemin artık hayatta olmadığını düşündükçe içim acıyor.,Sadness,enişte hayat olmak düşünmek içim acımak
Üzerimde gördüğüm hamam böceğinden tiksindim.,Disgust,üzeri görmek hamam böcek tiksinmek
Güvendiğim insanların güvenimi kırdığında öfkelenirim.,Anger,güvenmek insan güven kırmak öfkelenmek
Biri kusunca tiksinirim.,Disgust,kusmak tiksinmek
Eski sevgilim başka bir kızla sevgili olduğu zaman çok üzülmüştüm.,Sadness,eski sevgilim başka kız sevgili olduğu zaman çok üzülmüştüm
Ağzında yemek varken konuşan insanlar.,Disgust,ağzında yemek var konuşmak insan
okulda asla tahmin edemeyeceğim çiftler görüyorum.,Surprise,okul asla tahmin edemeyeceğim çiftlemek görmek
Yaz tatilinde eve döndüğüm zaman.,Happy,yaz tatil ev dönmek zaman
Pis olan her şey.,Disgust,pis olan şey
böcek ve yılandan midem bulanır.,Disgust,böcek yılan mide bulanmak
Doğum günümde hediye olarak maşa alındığında.,Surprise,doğum gün hediye olarak maş alındığında
şehirler arası otobüslerde kusan insanlar,Disgust,şehir ara otobüs kusmak insan
Film tam TV filmi olmuş. Fazla beklentilerle izlemeyin fakat vakit geçirmek için güzel bir film,Neutral,film tam tv film olmak beklenti izlemek vakit geçirmek güzel film
Çantanın görünümü iyi koruma özelliği orta seviye çantanın elle tutulur alanı 2 haftada sökülmeye başladı (dikiş yerinden askılı kullanmak isteyenler için şimdilik sorun yok),Neutral,çanta görünüm iyi korumak özellik orta seviye çanta el tutmak alan hafta sökülmek başlamak dikiş yer askı kullanmak istemek şimdilik sorun yok
Okullar tatil olduğu zaman.,Happy,okul tatil olduğu zaman
Arkadaşımın leş gibi kokması ve bana sarılması.,Disgust,arkadaş leş kokmak sarmak
Oyunda bir Rus'un skor elde etmesine şaşırıyorum.,Surprise,oyun rus un skor el etmek şaşırmak
Anneme çok benzeyen teyzemi ilk gördüğümde annem zannetmiştim.Daha sonra annemi tekrar karşılayınca çok şaşırmıştım.Hayatımda ilk defa teyzemi görüyordum.,Surprise,anne çok benzemek teyze ilk görmek anne zannetmek sonra anne tekrar karşılamak çok şaşırmak hayat ilk defa teyze görmek
Sevdiğim birisini kaybedince ve hoşlandığım çocuk başkasına baktığında.,Sadness,sevmek biri kaybetmek hoşlanmak çocuk başka bakmak
Arabaların hayvanları ezmesi.,Sadness,araba hayvan ezmek
Hiç bir yakınlık hissetmediğim bir kişinin fiziksel temasından tiksinirim.,Disgust,hiç yakın hissetmek kişi fizik temas tiksinmek
Arkadaşımın parası olduğu halde benden para istemesine üzüldüm.,Sadness,arkadaş para olduğu hal para istemek üzüldüm
İnsanların beni haksız yere suçlamasına öfkelenirim.,Anger,insan hak yer suçlamak öfke
Haksız davranıldığı zaman.,Anger,hak davranmak zaman
Babamın sürpriz ziyaretine şaşırdım.,Surprise,baba sürpriz ziyaret şaşırmak
"Dondurma, sıcak hava günlerinde serinlemek tercih edilen bir tatlıdır.",Neutral,dondurma sıcak hava gün serinlemek tercih edilen tatlı
karanlıktan feci şekilde ödüm kopar,Fear,karanlık feci şekil öd kopmak
Hücrelerarası Maddeyi doğru bir şekilde anlamak için üçlemeyi ve Animatrixi sırayla bir araya getiren sekiz kısa film gösterisini izlemek için bilgi teknolojisine ihtiyaç vardır.,Neutral,hücrelerarası madde şekil anlamak üçlemek animatrixi sıra ara getirmek sekiz kısa film gösteri izlemek bilgi teknoloji ihtiyaç var
Çinili Köşk Müzesi Türk çini ve seramik örneklerini sergileyerek Osmanlı dönemi sivil mimarisinin en eskilerinden biridir.,Neutral,çini köşk müze türk çini seramik örnek sergilemek osmanlı dönem sivil mimarî eski biri
annemi hastalığının teşhisi sırasında yapılan işlemler sırasında yaşadığım üzüntü...,Sadness,anne hastalık teşhis sıra yapmak işlem sıra yaşamak üzüntü
Filmin müziklerine ve tekniğine denecek bir şey yok fakat bence bu animasyondan oscarı hakkeden bir hatta bir kaç film vardı.,Neutral,film müzik teknik denecek şey yok ben animasyon oscarı hakketmek film var
Söz verip yerine getirilmemesinde çok öfkelendim.,Anger,söz vermek yer getirmek çok öfke
bir hata birden fazla tekrarlandığında sinirlenirim.,Anger,hata birden tekrarlamak sinirlenmek
"Görseldeki ürünle aynı değil, içerisinde tüylü bir şey beklemeyin, taban katmanı gibi, görselle alakası yok ama işe yarar mı? Evet, yarar.",Neutral,görseldeki ürün aynı değil içeri tüy şey beklemek taban katman görsel alaka yok iş yarar evet yarar
evde gece yalnız kalmaktan korkuyorum.,Fear,ev gece kalmak korkmak
Haksız yere suçlandığımda.,Anger,hak yer suçlamak
annemlere sürpriz yapıp ziyaret edince çok şaşırmışlardı,Surprise,annemler sürpriz yapmak ziyaret edince çok şaşırmak
"insanların çalıştıktan sonra emeklerinin karşılığını alması, hedeflerine ulaşması bir mutluluktur.",Happy,insan çalışmak sonra emek karşılık almak hedef ulaşmak mutlu
20 beklediğim sınavdan 60 aldığımda.,Happy,beklemek sınav aldığımda
vefat eden büyük annemi düşünmek içimi acıtıyor.,Sadness,vefat eden büyük anne düşünmek iç acımak
Başarılı  ya da aşık olduğum zaman.,Happy,başarı aşık olduğum zaman
Sınavdan yüksek not alınca mutlu olurum.,Happy,sınav yüksek not alınca mutlu olurum
"Basketbolda ""Türkiye"" 5. olduğumuz zaman.",Happy,basketbol türkiye olduğumuz zaman
Çikolata yediğimde.,Happy,çikolata yediğimde
Bir yakınımın ve arkadaşımın ölümüne üzülürüm.,Sadness,yakın arkadaş ölüm üzülürüm
cehalet mutluluktur.,Happy,cehalet mutlu
Ağız kokusundan.,Disgust,ağız koku
Balkonda dururken birisi beni ittirmesinden korkarım.,Fear,balkon durmak ittirmesinden korkmak
Bilgi teknolojisi yaratıcı kavramı ve uyandırdığı derinlik nedeniyle övülebilir ancak bazıları onu kafa karıştırıcı buluyor.,Neutral,bilgi teknoloji yaratı kavram uyanmak derinlik neden övülebilir bazı kafa karışmak bulmak
Sınavlardan 100 alınca mutlu olurum.,Happy,sınav alınca mutlu olurum
Çok çalıştığım biyoloji sınavına  kağıt önüme geldiği zaman hiç bir şey bilmediğimi görmek şaşırttı.,Surprise,çok çalışmak biyoloji sınav kağıt ön gelmek zaman hiç şey bilmek görmek şaşırmak
kendimden korkarım.,Fear,kendi korkmak
Anime ve Animasyonların Türkçe dublaj kadrosu aşağıda yazılmalıdır.,Neutral,anime animasyon türkçe dublaj kadro aşağı yazmak
Halam ve amcamı akciğer kanserinden kaybettiğim zaman.,Sadness,hala amca akciğer kanser kaybetmek zaman
Antik kentin girişi görkemli ve iyi korunmuş Roma zafer girişiyle sağlanmaktadır.,Neutral,antik kent girmek görkem iyi korumak roma zafer girmek sağlamak
Siyasi liderler seçmenin güvenini kazanmaya çalışırlar.,Neutral,siyasî lider seçmen güven kazanmak çalışmak
Otobüse sarhoş binen adam iğrenç kokuyordu.,Disgust,otobüs sarhoş binmek adam iğrenç kokmak
Edebiyat performansından 55 aldığımda.,Sadness,edebiyat performans aldığımda
ailemden ayrı kaldığımda üzülüyorum.,Sadness,aile ayrı kalmak üzülüyorum
LYS puanımla 50 bin kişiyi geriye çekmek mutlu etti.,Happy,lys puan bin kişi geri çekmek mutlu etti
kazı kazandan 100 lira çıkmıştı şaşırmıştım,Surprise,kazı kazandan lira çıkmak şaşırmak
Kalp kırıcı söz söylenmesi ve arkadaşlarımdan ayrılmak.,Sadness,kalp kırmak söz söylemek arkadaş ayrılmak
"Ankaragücü Teknik Direktörü Emre Belözoğlu:
""Antalyaspor maçında taraftarımıza ihtiyacımız var. Bir çok kez bu büyük Ankaragücü camiasının karşısında futbolcu olmuş biri olarak söyleyebilirim ki Ankaragücü'nün en büyük gücü taraftarı. Maç sonuna kadar her oyuncumuza sahip çıkan taraftarımıza ihtiyacımız var. Akşam görüşmek üzere! """,Neutral,ankaragücü teknik direktör emre belözoğlu antalyaspor maç taraftar ihtiyaç var çok kez büyük ankaragücü camia karşı futbol olmak olarak söylemek ankaragücü nü büyük gücü taraftar maç son oyun sahip çıkmak taraftar ihtiyaç var akşam görüşmek
Geçen hafta yeğenim dünyaya geldi ve çok mutlu oldum,Happy,geçen hafta yeğen dünya gelmek çok mutlu oldum
"Ali Yerlikaya'nın hukuki durumu ve İçişleri Bakanlığı hakkındaki iddialarla ilgili olarak resmi açıklama yapılacak mı?
@AliYerlikaya
@TC_icisleri",Neutral,ali yerlikaya nın hukukî durum içişleri bakanlık hak iddia ilgili olarak resim açıklamak yapmak
Uyandığımda güneşi görmek beni mutlu ediyor.,Happy,uyanmak güneşi görmek mutlu ediyor
İyi geçen sınav sonrası.,Happy,iyi geçen sınav sonra
bir insan konuşurken ağzından tükürük kaçarsa tiksinirim. Ya da yemeğimin üstüne hapşurursa tiksinirim.,Disgust,insan konuşmak ağzından tükürük kaçmak tiksinmek yemek üst hapşurursa tiksinmek
Bisikletten düştüğüm zaman.,Fear,bisiklet düşmek zaman
Yüksek beklediğim bir sınavdan düşük not aldığım zaman üzülürüm.,Sadness,yüksek beklemek sınav düşük not aldığım zaman üzülürüm
Karşıma çıkan soruların kolay olması.,Happy,karşı çıkmak soru kolay olmak
Ameliyata girerken korkarım.,Fear,ameliyat girmek korkmak
Bana yalan söylendiğinde.,Anger,yalan söylemek
işim hakkında bir şeyler bildiğini sanan ve bana karışan hastalara sinirleniyorum.,Anger,iş hak şey bilmek sanmak karışmak hasta sinirlenmek
Doğum günü sürprizi.,Surprise,doğum gün sürpriz
Çinlilerin böcek yediklerini gördüğümde.,Disgust,çinlilerin böcek yediklerini görmek
"▪Bitlis'te kar yağışı, aralıklarla etkili oluyor. Kar kalınlığı kent merkezinde 10, yüksek kesimlerde 30 santimetreye ulaştı",Neutral,bitlis te kar yağmak aralık etki oluyor kar kalın kent merkez yüksek kesim santimetre ulaşmak
"Uyarı verilen illerimizde valilik, kaymakamlık ve il AFAD müdürlüklerine bilgilendirme yapılmıştır.",Neutral,uyarı vermek il vali kaymakam il afad müdür bilgi yapmak
Engelli ve aç bir köpek gördüğümde üzülürüm.,Sadness,engel aç köpek görmek üzülürüm
Maddi durumumun iyi olması ve yüksek not almak.,Happy,maddî durum iyi olmak yüksek not almak
İnsanların rahatça yalan söylemesine şaşırıyorum.,Surprise,insan rahat yalan söylemek şaşırmak
Ders sırasında konuşulması.,Anger,ders sırasında konuşmak
Sevdiğim birisini kaybettiğim an.,Sadness,sevmek biri kaybetmek an
Alkol sonucu kusan insanlar.,Disgust,alkol sonuç kusmak insan
Bir olaya sinir olursam.,Anger,olay sinir olursam
"Başarısız bir öğrenci olmama rağmen , dershanede %100 burs kazanmıştım.",Surprise,başarı öğrenci olmak rağmen dershane burs kazanmak
"Kabartmalarla süslü ve hareketli olan deniz cephesinde, bu cepheye yaslanmış küçük çeşmeli havuzda ve merdivenlerde Batı tarzı süsleme motifleri kullanılmıştır.",Neutral,kabarmak süslü hareket olan deniz cephe cephe yaslamak küçük çeşme havuz merdiven batı tarz süslemek motif kullanmak
Derslere girmemek.,Happy,ders girmek
Fiyatına göre bir otel. Sanayi sitesinin kenarında. Odalar çok da temiz diyemem. Klimanın olduğu yerde örümcek ağı vardı. Çok önemli değil.,Neutral,fiyat otel sanayi site kenar oda çok temiz diyemem klima olduğu yer örümcek ağı var çok önem değil
Film ilham verici anlar sunuyor ancak genel olarak standart bir verimde kalıyor.,Neutral,film ilham vermek an sunmak genel olarak standart verim kalmak
Asla kötü bir film değil ama abartıldığı kadarda değil.,Neutral,asla kötü film değil abartmak kadar değil
Evde yeni alınan bilgisayarı görünce çok şaşırdım.,Surprise,ev yeni alınmak bilgisayar görmek çok şaşırmak
Bor madeninin 1 kilosunun 200 tl olduğunu duyduğumda ve bor ile gidebilecek bir aracın tam 19.000 km yol alabileceğini öğrendiğimde çok şaşırmıştım.,Surprise,bor maden kilo tl olduğunu duymak bor gidebilecek araç tam km yol alabileceğini öğrenmek çok şaşırmak
Eski ve yeni sınıf arkadaşlarım birleşerek doğum günümü kutlamışlardı.Bu beni şaşırtmıştı.,Surprise,eski yeni sınıf arkadaş birleşmek doğum gün kutlamak şaşırmak
insanlar bir konuda çok ısrar ederse öfkelenirim.,Anger,insan konu çok ısrar ederse öfke
sınıfta kalmaktan korkarım.,Fear,sınıf kalmak korkmak
Teyzemin hastaneye kaldırılması.,Sadness,teyze hastane kaldırmak
Sıcak su olması güzeldi. Yemekler güzeldi. Fiyatlar daha iyi olabilirdi.,Neutral,sıcak su olmak güzel yemek güzel fiyat iyi olabilirdi
kardeşim odamı dağıtınca çok öfkelendim.,Anger,kardeş oda dağıtmak çok öfke
tırnakları pis olanlardan tiksiniyorum.,Disgust,tırnak pis olanlardan tiksinmek
Yemekhanede kedi olmasından ve yemeklerden kıl çıkmasından tiksinirim.,Disgust,yemekhane kedi olmak yemek kıl çıkmak tiksinmek
iyi bir liseyi kazandığımda çok sevinmiştim.,Happy,iyi lise kazanmak çok sevinmek
Ürün kalitesi güzel ama maalesef laptop dışında bir şeye uymuyor.,Neutral,ürün kalite güzel maalesef laptop dış şey uymak
birinin yanımda geviş getirmesinden tiksiniyorum.,Disgust,biri yan geviş getirmek tiksinmek
Öğretmen beni dersten attığı zaman.,Sadness,öğretmen ders attığı zaman
Grup proje'sinde sadece benim sunum hazırlamam.,Anger,grup proje sinde sadece ben sunu hazırlamak
Telefonum 3. kattan düştüğü zaman korktum.,Fear,telefon kat düşmek zaman korkmak
Birisi bana hediye verdiğinde.,Happy,hediye vermek
kızım hasta olduğunda çok üzüldüm.,Sadness,kız has olduğunda çok üzüldüm
Kantinde suyun 75 kuruş olduğunu öğrendiğimde tiksindim.,Disgust,kantin su kuruş olduğunu öğrenmek tiksinmek
10 yaşımdayken sürpriz doğum günü yapılması.,Surprise,yaş sürpriz doğum gün yapmak
Fideleri hazırlamak için yaklaşık bir takvim ayı kadar temsili form kabul eden üreticiler çilek markalı fideleri toprağa diktiler cümle cümle yarıştılar.,Neutral,fide hazırlamak yaklaşık takvim ay temsilî form kabul eden üremek çilek marka fide toprak dikmek cümle cümle yarışmak
İlk defa arabayla trafiğe çıktığımda korkmuştum.,Fear,ilk defa araba trafik çıkmak korkmak
Okul tuvaletine girerken tiksiniyorum.,Disgust,okul tuvalet girmek tiksinmek
Akrabalarımdan birisinin ölmesi.,Sadness,akraba biri ölmek
çocukken su kaplumbağam vardı. O öldüğünde çok ağlamıştım.,Sadness,çocuk su kaplumbağa var öldüğünde çok ağlamak
Geçen yıl cüzdanımı kaybedince çok üzüldüm.,Sadness,geçen yıl cüzdan kaybetmek çok üzüldüm
yeni bir şey alınca mutlu olurum,Happy,yeni şey alınca mutlu olurum
Sınavdan 100 aldığım zaman.,Happy,sınav aldığım zaman
anneannemin vefat etmesi beni çok üzüyor.,Sadness,anneanne vefat etmek çok üzüyor
Annemin iznim olmadan odama girmesi ve eşyalarımı karıştırması.,Anger,anne iznim olmak oda girmek eşya karışmak
Annem babam bana kızdığında.,Sadness,anne baba kızmak
Kusmuk görmek.,Disgust,kusmuk görmek
Genelde yediğim yemekten bir şey çıkması beni tiksindirir.,Disgust,genelde yediğim yemek şey çıkmak tiksinmek
Kaliteli bir ürün. Yine de hava dalgasında yirmi metre uçtu. Damga pili yaklaşık 8 dakika dayanıyor. Cihaz bağlantısı biraz zor. Fotoğraf kalitesi hile için oldukça iyi. Ancak telefondan bilgi teknolojisini kontrol etmek biraz zor. Ayrı bir uzaktan kumandası vardı.,Neutral,kalite ürün hava dalga yirmi metre uçtu damga pil yaklaşık dakika dayanmak cihaz bağlantı zor fotoğraf kalite hile iyi telefon bilgi teknoloji kontrol etmek zor ayrı uzak kumanda var
Notlarımın eskiye oranla daha düşük olmasına üzülüyorum.,Sadness,not eski oran düşük olmak üzülüyorum
çöp konteynerindeki suyu akmış pis kokulu çöplerden tiksinirim.,Disgust,çöp konteyner su akmak pis koku çöp tiksinmek
İLKOKUL ARKADAŞIMIN BENİM NUMARAMI BULUP BENİ ARAMASI BENİ ÇOK ŞAŞIRTMIŞTI,Surprise,ilkokul arkadaş ben numara bulmak aramak çok şaşırmak
Okula uygun gelmediğim zaman okul müdürüne yakalanmaktan korkarım.,Fear,okul uygun gelmek zaman okul müdür yakalamak korkmak
"Halk, hükümetin faaliyetlerini eleştirebilir.",Neutral,halk hükümet faaliyet eleştirmek
Okulda iyi vakit geçirdiğimde.,Happy,okul iyi vakit geçirmek
Tuvalette pisuvarda armut gördüğümde.,Disgust,tuvalet pisuvar armut görmek
Ter kokuyordu.,Disgust,ter kokmak
Küçük kardeşimi yeni yemek yedikten sonra döndürmüştüm o da kusmuştu.,Disgust,küçük kardeş yeni yemek yedikten sonra dönmek kusmak
Metrodayken altından dumanlar çıkmaya başlamıştı. O zaman çok korkmuştum.,Fear,metro alt duman çıkmak başlamak zaman çok korkmak
Çok güzel hareketler bunlar 2 -63. bölüm 01:08:00,Neutral,çok güzel hareket bu bölüm
Tarihî kayıtlarda St. Paulun Romaya gitmek için Patarada bir gemi kiraladığı kayıtlıdır.,Neutral,tarih kayıt st paulun romaya gitmek patarada gemi kiralamak kayıt
Dedemi kaybettiğim zaman.,Sadness,dede kaybetmek zaman
Oyunlarımın silinmesinden korkarım.,Fear,oyun silmek korkmak
Böcek gördüğüm zaman.,Fear,böcek görmek zaman
yemek yerken karşımda birinin ağzı açık yemek yemesi çok tiksindiriyor.,Disgust,yemek yer karşı biri ağzı açık yemek yemesi çok tiksinmek
"RT @besiktasliagbi: bu adamı alkışlamanız el üstünde tutmanız gerekirken ,yerden yere vurmanizi Beşiktaş düşmanlığına bağlıyoruz ,yapacak bir şey yok sevmiyorsanız bile saygı duyacaksınız !! #MilliyetBeşiktaştanÖzürDile https://t.co/EkmIW9Rbzd",Neutral,adam alkışlamak el üst tutmak gerekmek yer yer vurmanizi beşiktaş düşman bağlamak yapmak şey yok sevmek bile saygı duymak milliyetbeşiktaştanözürdile
Bisikletime çarpan şoföre.,Anger,bisiklet çarpmak şoför
Başkalarının beni kullanmasına çok öfkelenirim.,Anger,başka kullanmak çok öfke
Bu liseyi kazandığım zaman.,Happy,lise kazanmak zaman
beş dakika boyunca karanlıkta kalınca ödüm kopmuştu,Fear,beş dakika boyunca karanlık kalmak öd kopmak
şu an eşim olan insanla görüşmeye başladığımda benden mutlusu yoktu,Happy,an eş olan insanla görüşme başlamak mutlu yok
Hiç beklemediğim bir yerden para gelmesine çok sevindim,Happy,hiç beklemek yer para gelmek çok sevinmek
Yalan söylendiğinde ve küçük görüldüğümde.,Anger,yalan söylemek küçük görmek
Hala olacağımı öğrendiğimde çok şaşırdım,Surprise,olacağımı öğrenmek çok şaşırmak
kayın validemin öldüğü tarihin hem kaynımla hem de benim doğum günüm olması çok şaşırtıcı,Surprise,kayın valide öldüğü tarih hem kayın hem ben doğum gün olmak çok şaşırmak
İzlediğim bir korku filminden.,Fear,izlemek korku film
İstediğim şeyi elde edemeyince öfkeleniyorum.,Anger,istemek şey el edemeyince öfke
Arkadaşımın kendi cinsinden hoşlandığını öğrendiğimde çok şaşırdım.,Surprise,arkadaş cins hoşlanmak öğrenmek çok şaşırmak
Çöplerin gelişigüzel yerlere atılmasına ve kendini küçük duruma düşüren insanlara üzülürüm.,Sadness,çöp gelişigüzel yer atılmasına kendi küçük durum düşürmek insan üzülürüm
Köpek.,Fear,köpek
Babam bisiklet alıp sürpriz yapmıştı.,Happy,baba bisiklet alıp sürpriz yapmak
Sevdiklerimin başına bir şey gelirse.,Sadness,sevmek baş şey gelmek
Ne diyeceğimi bilmiyorum. Shrek'ten etkilendiği çok açık.,Neutral,diyeceğimi bilmek shrek ten etkilemek çok açık
Irkçı ve ayrımcı insanlardan.,Anger,ırk ayrım insan
Yavru bir köpek bulmuştum.,Happy,yavru köpek bulmak
"Elleri yumuşatması güzel ama kokusunu pek beğenmedim, tatlı bir kokusu var.",Neutral,el yumuşamak güzel koku beğenmek tatlı koku var
Çinlilerin çocuk yediğini duyduğumda çok tiksinmiştim.,Disgust,çinlilerin çocuk yediğini duymak çok tiksinmek
Boş insanların fiziksel kuvvetlerinden dolayı kendilerini üstün görmesi.,Anger,boş insan fizik kuvvet kendi üstün görmek
Çok kötü bir yemek yediğimde tiksinirim.,Disgust,çok kötü yemek yediğimde tiksinmek
"""Dabbe Cin çarpması"" filmini izlerken korktum.",Fear,dabbe cin çarpmak film izlemek korkmak
insanların bencilliği beni çok sinirlendiriyor.,Anger,insan bencil çok sinir
böceklerden korkarım.,Fear,böcekler korkmak
Birisini kırmak.,Sadness,biri kırmak
Kedimin ayağının kırılmasına üzüldüm.,Sadness,kedi ayak kırmak üzüldüm
Gece korkulu videolar izlemiştim sonra da duyduğum her sesi hırsız sanmıştım.,Fear,gece korku video izlemek sonra duymak ses hırsız sanmak
Yatağımda hamam böceği gördüğüm zaman.,Disgust,yatak hamam böcek görmek zaman
"""Whatsapp"" grubuna tavşan seksi gönderildiğinde tiksindim.",Disgust,whatsapp grup tavşan seks göndermek tiksinmek
Suyumuzu da Katar'a mı sattık yoksa bana mı öyle geliyor? ?? https://t.co/wu9Pya1wAW,Neutral,su katmak satmak yok öyle gelmek
Çok çalıştığım halde istediğimi yapamamak.,Sadness,çok çalışmak hal istemek yapmak
Hayvan pisliği.,Disgust,hayvan pis
Önümdeki adama araba çarptığında.,Fear,ön adam araba çarpmak
Yapmacık ve maskeli insanlar.,Anger,yapmacık maske insan
Elbisem pislenince tiksinirim.,Disgust,elbise pis tiksinmek
Yanından geçtiğim çöp kutusundan bir anda kedi çıktığında.,Fear,yan geçmek çöp kutu an kedi çıkmak
Bir şeyi uzun süre uğraştıktan sonra başardığımda mutlu oluyorum.,Happy,şey uzun süre uğraşmak sonra başarmak mutlu oluyorum
"Taze meyve suyu, meyvelerin özgün lezzetlerini içecek bir formda sunar ve vitamin deposudur.",Neutral,taze meyve su meyve özgün lezzet içecek form sunmak vitamin depo
beşiktaş şampiyon olamayınca ağlamıştım.,Sadness,beşiktaş şampiyon olamayınca ağlamak
Birisinin bana yumruk atması.,Anger,biri yumruk atmak
Sevdiklerimin başına bir şey gelmesi.,Sadness,sevmek baş şey gelmek
Motor kazası gördüğümde.,Sadness,motor kaza görmek
En sevdiğim arkadaşımın okuldan gitmesine çok üzüldüm.,Sadness,sevmek arkadaş okul gitmek çok üzüldüm
Birinin yanımda kulağını burnunu karıştırmasından ve geğirmesinden tiksinirim.,Disgust,biri yan kulak burun karışmak geğirmek tiksinmek
arkadaşlarım iğrenç espri yapınca midem bulanıyor.,Disgust,arkadaş iğrenç espri yapmak mide bulanmak
Ağabeyimin doğum günü için video hazırlamama herkesin yardım etmesi.,Happy,ağabey doğum gün video hazırlamak herkes yardım etmek
köpek üstüme doğru koştuğunda ödüm kopar,Fear,köpek üst koşmak öd kopmak
Ailem beni azarladığında.,Sadness,aile azarlamak
Kocam bana çiçek aldığında çok şaşırdım,Surprise,koca çiçek aldığında çok şaşırmak
Bana bağırılması ve insanlarla iletişimimin kötü olması.,Sadness,bağırılması insan iletişim kötü olmak
selamün aleyküm Çengelköy hıyarları,Neutral,selamün aleyküm çengelköy hıyar
Bilgisayar oyunu kazandığımda.,Happy,bilgisayar oyun kazanmak
Bilgisayarın ön ve arkasını koruyor sadece yan şeritleri ve ekran - klavye bağlantı şeridini korumuyor. Bunu çantanın tabanına ve sağ kanat ve sol köşelerine sünger tüpler yerleştirerek alışkanlık haline getiriyorum. En azından çantanın tabanı süngerle kaplansa bilişim teknolojisi gerçek bir olgun matematik ürünü olurdu.,Neutral,bilgisayar ön arka korumak sadece yan şerit ekran klavye bağlantı şerit korumak bu çanta taban sağ kanat sol köşe sünger tüp yerleşmek alışkan hal getirmek azı çanta taban sünger kaplan bilmek teknoloji gerçek olgun matematik ürün olurdu
Tuttuğum takımın küçük bir takıma yenilmesi. (Fenerbahçe),Sadness,tutmak takım küçük takım yenmek fenerbahçe
deprem olunca çok korktum.,Fear,deprem olunca çok korkmak
İzmir Kız Lisesini kazandığım zaman.,Happy,izmir kız lise kazanmak zaman
fiyat performans çok kaliteli ve kalın değil benim gibi laptop koymayı düşünüyorsanız pek iş görmez. sığıyor içinde ama güvende değil,Neutral,fiyat performans çok kalite kalın değil ben laptop koymak düşünmek iş görmek sığmak iç güven değil
iftira atılması,Anger,iftira atılması
Yapmacık insanlardan tiksinirim.,Disgust,yapmacık insan tiksinmek
Birileri tarafından dışlanmak.,Anger,biri taraf dışlamak
"halka açık tuvaletlerin pisliğinden, çalıştığımız yerdeki tuvaletlerde sigara içilmesinden iğreniyorum",Disgust,halk açık tuvalet pis çalışmak yer tuvalet sigara içilmesinden iğrenmek
çevremdekiler güzel olduğumu söylediğinde havalara uçarım,Happy,çevre güzel olduğumu söylemek hava uçarım
